"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt","urlPart"
"574215","209389","2025-10-05","44.00","AUD","1759642273","281358/2025-10-05/1759642273.json"
"574215","781179","2025-10-05","39.16","AUD","1759642273","281358/2025-10-05/1759642273.json"
"574215","209389","2025-10-06","44.00","AUD","1759642273","281358/2025-10-06/1759642273.json"
"574215","781179","2025-10-06","39.16","AUD","1759642273","281358/2025-10-06/1759642273.json"
"1000012","875905","2025-10-06","47.30","AUD","1759642273","281358/2025-10-06/1759642273.json"
"1000012","875906","2025-10-06","42.57","AUD","1759642273","281358/2025-10-06/1759642273.json"
"574215","209389","2025-10-07","44.00","AUD","1759642273","281358/2025-10-07/1759642273.json"
"574215","781179","2025-10-07","39.16","AUD","1759642273","281358/2025-10-07/1759642273.json"
"1000012","875905","2025-10-07","47.30","AUD","1759642273","281358/2025-10-07/1759642273.json"
"1000012","875906","2025-10-07","42.57","AUD","1759642273","281358/2025-10-07/1759642273.json"
"574215","209389","2025-10-08","44.00","AUD","1759642273","281358/2025-10-08/1759642273.json"
"574215","781179","2025-10-08","39.16","AUD","1759642273","281358/2025-10-08/1759642273.json"
"1000012","875905","2025-10-08","47.30","AUD","1759642273","281358/2025-10-08/1759642273.json"
"1000012","875906","2025-10-08","42.57","AUD","1759642273","281358/2025-10-08/1759642273.json"
"574215","209389","2025-10-09","44.00","AUD","1759642273","281358/2025-10-09/1759642273.json"
"574215","781179","2025-10-09","39.16","AUD","1759642273","281358/2025-10-09/1759642273.json"
"1000012","875905","2025-10-09","47.30","AUD","1759642273","281358/2025-10-09/1759642273.json"
"1000012","875906","2025-10-09","42.57","AUD","1759642273","281358/2025-10-09/1759642273.json"
"574215","209389","2025-10-10","44.00","AUD","1759642273","281358/2025-10-10/1759642273.json"
"574215","781179","2025-10-10","39.16","AUD","1759642273","281358/2025-10-10/1759642273.json"
"574215","209389","2025-10-11","44.00","AUD","1759642273","281358/2025-10-11/1759642273.json"
"574215","781179","2025-10-11","39.16","AUD","1759642273","281358/2025-10-11/1759642273.json"
"1000012","875905","2025-10-11","47.30","AUD","1759642273","281358/2025-10-11/1759642273.json"
"1000012","875906","2025-10-11","42.57","AUD","1759642273","281358/2025-10-11/1759642273.json"
"574215","209389","2025-10-12","44.00","AUD","1759642273","281358/2025-10-12/1759642273.json"
"574215","781179","2025-10-12","39.16","AUD","1759642273","281358/2025-10-12/1759642273.json"
"1000012","875905","2025-10-12","47.30","AUD","1759642273","281358/2025-10-12/1759642273.json"
"1000012","875906","2025-10-12","42.57","AUD","1759642273","281358/2025-10-12/1759642273.json"
"574215","209389","2025-10-13","44.00","AUD","1759642273","281358/2025-10-13/1759642273.json"
"574215","781179","2025-10-13","39.16","AUD","1759642273","281358/2025-10-13/1759642273.json"
"1000012","875905","2025-10-13","47.30","AUD","1759642273","281358/2025-10-13/1759642273.json"
"1000012","875906","2025-10-13","42.57","AUD","1759642273","281358/2025-10-13/1759642273.json"
"574215","209389","2025-10-14","44.00","AUD","1759642273","281358/2025-10-14/1759642273.json"
"574215","781179","2025-10-14","39.16","AUD","1759642273","281358/2025-10-14/1759642273.json"
"1000012","875905","2025-10-14","47.30","AUD","1759642273","281358/2025-10-14/1759642273.json"
"1000012","875906","2025-10-14","42.57","AUD","1759642273","281358/2025-10-14/1759642273.json"
"574215","209389","2025-10-15","44.00","AUD","1759642273","281358/2025-10-15/1759642273.json"
"574215","781179","2025-10-15","39.16","AUD","1759642273","281358/2025-10-15/1759642273.json"
"1000012","875905","2025-10-15","47.30","AUD","1759642273","281358/2025-10-15/1759642273.json"
"1000012","875906","2025-10-15","42.57","AUD","1759642273","281358/2025-10-15/1759642273.json"
"574215","209389","2025-10-16","44.00","AUD","1759642273","281358/2025-10-16/1759642273.json"
"574215","781179","2025-10-16","39.16","AUD","1759642273","281358/2025-10-16/1759642273.json"
"1000012","875905","2025-10-16","47.30","AUD","1759642273","281358/2025-10-16/1759642273.json"
"1000012","875906","2025-10-16","42.57","AUD","1759642273","281358/2025-10-16/1759642273.json"
"574215","209389","2025-10-17","44.00","AUD","1759642273","281358/2025-10-17/1759642273.json"
"574215","781179","2025-10-17","39.16","AUD","1759642273","281358/2025-10-17/1759642273.json"
"1000012","875905","2025-10-17","47.30","AUD","1759642273","281358/2025-10-17/1759642273.json"
"1000012","875906","2025-10-17","42.57","AUD","1759642273","281358/2025-10-17/1759642273.json"
"574215","209389","2025-10-18","44.00","AUD","1759642273","281358/2025-10-18/1759642273.json"
"574215","781179","2025-10-18","39.16","AUD","1759642273","281358/2025-10-18/1759642273.json"
"1000012","875905","2025-10-18","47.30","AUD","1759642273","281358/2025-10-18/1759642273.json"
"1000012","875906","2025-10-18","42.57","AUD","1759642273","281358/2025-10-18/1759642273.json"
"574215","209389","2025-10-19","44.00","AUD","1759642273","281358/2025-10-19/1759642273.json"
"574215","781179","2025-10-19","39.16","AUD","1759642273","281358/2025-10-19/1759642273.json"
"1000012","875905","2025-10-19","47.30","AUD","1759642273","281358/2025-10-19/1759642273.json"
"1000012","875906","2025-10-19","42.57","AUD","1759642273","281358/2025-10-19/1759642273.json"
"574215","209389","2025-10-20","44.00","AUD","1759642273","281358/2025-10-20/1759642273.json"
"574215","781179","2025-10-20","39.16","AUD","1759642273","281358/2025-10-20/1759642273.json"
"1000012","875905","2025-10-20","47.30","AUD","1759642273","281358/2025-10-20/1759642273.json"
"1000012","875906","2025-10-20","42.57","AUD","1759642273","281358/2025-10-20/1759642273.json"
"574215","209389","2025-10-21","44.00","AUD","1759642273","281358/2025-10-21/1759642273.json"
"574215","781179","2025-10-21","39.16","AUD","1759642273","281358/2025-10-21/1759642273.json"
"1000012","875905","2025-10-21","47.30","AUD","1759642273","281358/2025-10-21/1759642273.json"
"1000012","875906","2025-10-21","42.57","AUD","1759642273","281358/2025-10-21/1759642273.json"
"574215","209389","2025-10-22","44.00","AUD","1759642273","281358/2025-10-22/1759642273.json"
"574215","781179","2025-10-22","39.16","AUD","1759642273","281358/2025-10-22/1759642273.json"
"1000012","875905","2025-10-22","47.30","AUD","1759642273","281358/2025-10-22/1759642273.json"
"1000012","875906","2025-10-22","42.57","AUD","1759642273","281358/2025-10-22/1759642273.json"
"574215","209389","2025-10-23","44.00","AUD","1759642273","281358/2025-10-23/1759642273.json"
